行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
固镇县,年产500吨农副产品加工包装,固镇县王庄镇南屯村。,0.82405,工业用地,挂牌出让,50,农副食品加工业,70,蚌埠市丰谷农业开发有限公司,1,2019年3月14日,2019年11月14日,2020年11月14日
固镇县,年产30000吨洗涤剂、1500吨化妆品,开发区经一路西侧,2.33299,工业用地,挂牌出让,50,化学原料及化学制品制造业,196,安徽达尔美生物科技有限公司,0.6,2019年3月14日,2019年11月14日,2020年11月14日
固镇县,年产3万吨切削液、润滑油调和分装,经济开发区纬七路南侧，,1.56564,工业用地,挂牌出让,50,化学原料及化学制品制造业,132,蚌埠斯维特科技有限公司,0.6,2019年3月14日,2019年11月14日,2020年11月14日
怀远县,怀远县城市投资发展有限责任公司,荆山镇健康路南侧,6.943535,城镇住宅用地,挂牌出让,70,房地产业,8895,怀远县城市投资发展有限责任公司,2.502.90,2019年3月13日,2019年9月12日,2021年9月11日
蚌埠市本级,工业用地,高新区长征路东、坤和路南,6.118187,工业用地,挂牌出让,50,通用设备制造业,1628,蚌埠高新投资集团有限公司,1.200.00,2019年3月6日,2019年8月24日,2021年2月24日
蚌埠市本级,工业用地,淮上区老山路西侧、滨河路北侧,9.147246,工业用地,挂牌出让,50,水泥及石膏制品制造,2375,安徽恒力新型建材科技有限公司,1.000.00,2019年3月6日,2019年8月24日,2021年2月24日
蚌埠市本级,采矿用地项目,高新区天河科技园中联水泥厂以南、殳李村以西,2.810911,采矿用地,挂牌出让,50,其它,794,蚌埠中联水泥有限公司,0.001.00,2019年3月6日,2019年8月24日,2021年2月24日
蚌埠市本级,工业用地,淮上区司马庄路以东、淮上大道以南,9.745876,工业用地,挂牌出让,50,砖瓦、石材及其他建筑材料制造,2499,安徽水利建筑工业有限公司,1,2019年3月6日,2019年8月24日,2021年2月24日
蚌埠市本级,工业用地,高新区中环线南、中粮大道西、金河路北,16.115041,工业用地,挂牌出让,50,通用设备制造业,4132,蚌埠高新投资集团有限公司,1.200.00,2019年3月6日,2019年8月24日,2021年2月24日
蚌埠市本级,工业用地,高新区国电大道南、经十四路东、经十五路西,6.276273,工业用地,挂牌出让,50,通用设备制造业,1688,蚌埠高新投资集团有限公司,1.200.00,2019年3月6日,2019年8月24日,2021年2月24日
五河县,大新蒋集新型建材厂,五河县大新镇蒋集（原蒋集窑厂地块）,1.5543,工业用地,挂牌出让,50,砖瓦、石材及其他建筑材料制造,245,五河县元坤新型建材有限公司,0.7,2019年3月5日,2019年11月28日,2020年11月28日
蚌埠市本级,蚌埠市2015年第51批次2个边角绿地,蚌山区解放路西侧、姜桥路南侧,0.25195,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2012年第5批次边角地,蚌山区解放路西侧、货场八路南侧,0.316252,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2012年第28批次3个绿地,蚌山区迎宾大道东侧、黄山大道南侧,5.364826,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2015年第42批次3个边角绿地,蚌山区解放路西侧、货场八路北侧,0.12,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2014年第48批次2个绿地,蚌山区迎宾大道东侧、黄山大道南侧,2.392475,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2015年第44批次3个边角绿地,蚌山区延安南路东侧、燕山路南侧,2.600174,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2013年第62批次边角地,蚌山区迎宾大道东侧、黄山大道南侧,0.237004,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2015年第41批次3个边角绿地,蚌山区解放路西侧、货场八路北侧,0.1462,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2013年第67批次边角地,蚌山区黄山大道南侧、延安南路西侧,0.280189,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市2013年第64批次2个边角地,蚌山区黄山大道南侧、延安路西侧等,0.097401,公园与绿地,划拨,,国家机构,,蚌埠市土地储备中心,,2019年3月1日,,
蚌埠市本级,蚌埠市朝阳实验学校,纬四路东侧、红旗三路南侧,3.6466,教育用地,划拨,,教育,,蚌埠禹会区教育和体育局,1,2019年2月26日,2019年4月11日,2022年4月8日
蚌埠市本级,湖上升明月项目边角地,经开区解放路东侧、黄山大道北侧,0.191803,公园与绿地,划拨,,房地产业,,蚌埠经济开发区投资集团有限公司,,2019年2月23日,,
固镇县,房地产（安建工）,仲兴路南侧黄园南路西侧。,7,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,8400,安徽建工地产固镇有限公司,1.002.00,2019年2月13日,2019年10月13日,2020年10月13日
固镇县,房地产（安建工）,南城区谷城路东侧、黄园南路西侧。,3.45718,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,4149,安徽建工地产固镇有限公司,1.002.00,2019年2月13日,2019年10月13日,2020年10月13日
固镇县,房地产（安建工）,北至连城路、东至黄园路、南至仲兴路、西至谷城路,4,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,4800,安徽建工地产固镇有限公司,1.002.00,2019年2月13日,2019年10月13日,2020年10月13日
蚌埠市本级,黄山大道（西出口-天河路）道路工程,黄山大道（西出口-天河路）段,16.0624,城镇村道路用地,划拨,,工程准备,,蚌埠市重点工程建设管理局,,2019年2月12日,2019年3月12日,2019年12月11日
蚌埠市本级,居住用地,禹会区胜利西路北侧,0.335861,城镇住宅用地,挂牌出让,70,房地产业,1560,蚌埠市新贝置业有限公司,1.201.80,2019年1月29日,2019年7月9日,2021年1月9日
蚌埠市本级,110千伏苏岗输变电工程项目,高新区天河科技园纬一路与经二路交叉口西南侧,0.496,公用设施用地,划拨,,电力、热力的生产和供应业,,国网安徽省电力有限公司蚌埠供电公司,0.5,2019年1月24日,2019年3月30日,2019年9月30日
蚌埠市本级,蚌埠二十中学新建项目,淮上区盛华路东侧、双墩路南侧、盛安路西侧、后场路北侧,6.4957,教育用地,划拨,,工程准备,,蚌埠市淮上教育发展投资有限公司,0.9,2019年1月24日,2019年4月18日,2021年4月17日
蚌埠市本级,工业项目,淮上区司马庄路东侧、滨河路北侧,4.666667,工业用地,挂牌出让,50,水泥、石灰和石膏的制造,1216,安徽建工集团蚌埠建材有限公司,1.000.00,2019年1月24日,2019年7月10日,2021年1月10日
