编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
316,工业用地,连云港市,东海县,年产20万只太阳能用石英坩埚项目,东海县西开发区麒麟大道南侧、光明路北侧,50,挂牌,1240,,2019,2019年10月,2019年10月23日,4.8639,48639,0.8,38911.2,东海县太阳光新能源有限公司,,,,,,,,,,,,,,2020年1月28日,2022年1月28日
317,工业用地,连云港市,东海县,新建年产2万吨韩国风味食品项目,高新区神舟路东侧,50,挂牌,857,,2019,2019年10月,2019年10月23日,3.3089,33089,1,33089,大象（连云港）食品有限公司,,,,,,,,,,,,,,2019年12月23日,2021年12月23日
324,工业用地,连云港市,灌云县,灌云益风风电有限公司,洋桥农场,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云益风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
325,工业用地,连云港市,灌云县,灌云益风风电有限公司,洋桥农场境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云益风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
326,工业用地,连云港市,灌云县,灌云益风风电有限公司,洋桥农场境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云益风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
327,工业用地,连云港市,灌云县,灌云益风风电有限公司,洋桥农场境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云益风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
328,工业用地,连云港市,灌云县,灌云益风风电有限公司,洋桥农场境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云益风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
329,工业用地,连云港市,灌云县,灌云益风风电有限公司,洋桥农场境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云益风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
330,工业用地,连云港市,灌云县,灌云鑫风风电有限公司,临港产业区境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云鑫风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
331,工业用地,连云港市,灌云县,灌云鑫风风电有限公司,临港产业区境内,50,挂牌,5,,2019,2019年10月,2019年10月10日,0.033,330,0.1,33,灌云鑫风风电有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月9日
