用途,成交日期,成交价格,受让单位
F3其他类多功能用地,2017-05-12,62000,北京北建通成国际物流有限公司
F3其他类多功能用地,2017-05-05,259500,北京首都开发股份有限公司和北京富力通达房地产开发有限公司联合体
B4综合性商业金融服务业用地、S41公用停车场用地、G3广场用地、F3其他类多功能用地,2017-05-05,250000,北京市房山新城建设工程有限责任公司、北京碧水京良水务有限公司、北京高能长阳环境修复有限公司、北京泰岳阳光科技有限公司、北京钧诚企业管理有限公司和北京云子企业管理有限公司联合体
R2二类居住用地,2017-05-03,22000,北京顺碧投资有限公司
F1住宅混合公建用地,2017-05-03,457500,中粮地产（北京）有限公司、北京天恒正同资产管理有限公司和北京辉广企业管理有限公司联合体
R2二类居住用地,2017-04-27,121000,河南新筑置业有限公司
R2二类居住用地、A33基础教育用地,2017-04-27,193000,北京金隅大成开发有限公司和北京空港科技园区股份有限公司联合体
R2二类居住用地、A33基础教育用地,2017-04-27,289000,河南新筑置业有限公司
F1住宅混合公建用地,2017-04-25,380000,北京国瑞兴业房地产控股有限公司
F1住宅混合公建用地,2017-04-25,326000,北京世纪鸿城置业有限公司
R2二类居住用地、A33基础教育用地、S4社会停车场用地,2017-04-25,103000,中铁房地产集团北方有限公司
W2普通仓储用地,2017-05-04,11547.52,经纬供应链管理（北京）有限公司
M1一类工业用地,2017-04-24,109378.78,北京汽车集团有限公司
W2普通仓储用地,2017-04-24,13943.25,北京天保宏远物流发展有限公司
R2二类居住用地，A334托幼用地,,,
R2二类居住用地,2017-04-24,123500,中铁二十二局集团房地产开发有限公司和北京实兴腾飞置业发展公司联合体
B4综合性商业金融服务业用地,,,
A61机构养老设施用地,2017-04-14,13000,北京中弘弘庆房地产开发有限公司
B1商业用地,2017-04-14,292000,天津金地华府置业有限公司
A61机构养老设施用地,2017-04-11,20400,北京中弘弘庆房地产开发有限公司
R2二类居住用地、B4综合性商业金融服务业用地、A61机构养老设施用地、A33基础教育用地、S4社会停车场用地,2017-04-11,585000,国开东方城镇发展投资有限公司和北京万科企业有限公司联合体
R2二类居住用地、A33基础教育用地,2017-04-13,698000,北京首都开发股份有限公司、北京中海地产有限公司、保利（北京）房地产开发有限公司和北京龙湖中佰置业有限公司联合体
R2二类居住用地,2017-04-13,574000,北京首都开发股份有限公司、北京中海地产有限公司、保利（北京）房地产开发有限公司和北京龙湖中佰置业有限公司联合体
F3其他类多功能用地,2017-04-06,129000,北京亚通房地产开发有限责任公司
A61机构养老设施用地,2017-04-01,66000,北京中弘弘庆房地产开发有限公司
A61机构养老设施用地,2017-04-01,49600,北京中弘弘庆房地产开发有限公司
F3其他类多功能用地,2017-03-30,204000,北京广茂置业有限公司
F3其他类多功能用地,2017-03-30,225000,北京润置商业运营管理有限公司、招商局地产(北京)有限公司和北京环渤海正奇企业管理中心（有限合伙）联合体
F3其他类多功能用地,2017-03-30,106000,北京硕日新宇投资有限公司
R2二类居住用地,2017-03-28,158000,北京天恒正同资产管理有限公司
R2二类居住用地、A33基础教育用地,2017-03-28,176000,北京宝驰通置业有限公司
工业用地,2017-03-27,11784.385656,北京燕东微电子科技有限公司
工业用地,2017-03-27,3240.0972,华卓精科（北京）精密运动系统科技有限公司
一类工业用地,2017-03-27,9634,北京天仁道和新材料有限公司
