编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
4820,其他商服用地,徐州市,邳州市,红卫村用地项目,邳新路北侧、红卫村内,40,挂牌,,728.4,,2015,4,2015/4/27,0.80928,809.28,4.5,,,,,,,,,,,,,,,,2015/5/15,2017/5/15
4821,其他商服用地,徐州市,邳州市,张圈村用地项目,270省道东侧、张圈村内,40,挂牌,,601.8,,2015,4,2015/4/27,0.668717,668.717,4.5,,,,,,,,,,,,,,,,2015/5/15,2017/5/15
4822,其他商服用地,徐州市,邳州市,新春兴研发大楼,邳新路北侧、陇海大道东侧,40,挂牌,,1932,,2015,4,2015/4/27,1.073587,1073.587,4.5,,,,,,,,,,,,,,,,2015/5/15,2017/5/15
4823,其他商服用地,徐州市,邳州市,杰斯特商业楼,春兴路北侧、炮车大道西侧,40,挂牌,,9026.1,,2015,4,2015/4/27,6.686213,6686.213,4.5,,,,,,,,,,,,,,,,2015/5/15,2017/5/15
4824,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,睢宁金以德房地产开发有限公司建商住用地,城北中学东、永安路南,70,挂牌,,10610,,2015,4,2015/4/23,7,7000,3,,,,,,,,,,,,,,,,2015/11/23,2018/4/23
4825,工业用地,徐州市,睢宁县,徐州正隆皮革有限公司建工业用地,青年西路北、原104国道西,50,挂牌,,582,,2015,4,2015/4/22,4.305342,4305.342,1.5,,,,,,,,,,,,,,,,2015/7/22,2017/4/22
4826,其他商服用地,徐州市,睢宁县,睢宁八里商业城管理有限公司建商业用地,徐淮路北、渭河东路东,40,挂牌,,2834,,2015,4,2015/4/22,2.165634,2165.634,2.2,,,,,,,,,,,,,,,,2015/11/22,2017/4/22
4827,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市泉城房地产开发有限公司,贾汪区东方路东侧、贾汴路南侧,70,挂牌,,2547,,2015,4,2015/4/20,2.4253,2425.3,1.8,,,,,,,,,,,,,,,,2016/1/1,2017/12/31
4828,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市泉城房地产开发有限公司,贾汪区潘安湖办事处境内、310国道以南、徐矿铁路以北。,70,挂牌,,311,,2015,4,2015/4/20,0.6903,690.3,1.8,,,,,,,,,,,,,,,,2016/1/1,2017/12/31
4829,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市泉城房地产开发有限公司,贾汪区潘安湖办事处境内、310国道以南、徐矿铁路以北。,70,挂牌,,421,,2015,4,2015/4/20,0.9349,934.9,1.8,,,,,,,,,,,,,,,,2016/1/1,2017/12/31
4830,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市泉城房地产开发有限公司,贾汪区鸿福路南侧、桃园路东侧,70,挂牌,,2652,,2015,4,2015/4/17,2.5256,2525.6,2.4,,,,,,,,,,,,,,,,2016/1/1,2017/12/31
4831,中低价位、中小套型普通商品住房用地,徐州市,沛  县,沛县中金置业投资有限公司建卢卡庄园,沛县经济开发区台州路南侧、汉兴路东侧、韩信路北侧,70,挂牌,,1302,,2015,4,2015/4/16,0.4339,433.9,2.2,,沛县中金置业投资有限公司,,,,,,,,,,,,,,2015/10/16,2018/10/16
4832,中低价位、中小套型普通商品住房用地,徐州市,沛  县,沛县中金置业投资有限公司建卢卡庄园,沛县经济开发区汉玉路西侧、台州路北侧、汉兴路东侧,70,挂牌,,1414,,2015,4,2015/4/16,0.4711,471.1,2.2,,沛县中金置业投资有限公司,,,,,,,,,,,,,,2015/10/16,2018/10/16
4833,中低价位、中小套型普通商品住房用地,徐州市,沛  县,沛县中金置业投资有限公司建卢卡庄园,沛县经济开发区台州路南侧、汉兴路东侧、韩信路北侧,70,挂牌,,154,,2015,4,2015/4/16,0.0516,51.6,2.2,,沛县中金置业投资有限公司,,,,,,,,,,,,,,2015/10/16,2018/10/16
4834,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州万国房地产开发有限公司建商住（定销房）用地,永安路北、规划文学路西,69,挂牌,,5080,,2015,4,2015/4/15,5.625424,5625.424,1.32,,,,,,,,,,,,,,,,2015/11/15,2016/4/15
4835,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州万国房地产开发有限公司建商住（定销房）用地,新城路北、规划环东路东,70,挂牌,,2885,,2015,4,2015/4/15,3.134425,3134.425,2.3,,,,,,,,,,,,,,,,2015/11/15,2017/4/15
4836,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州万国房地产开发有限公司建商住（定销房）用地,新城路北、规划环东路西,70,挂牌,,3585,,2015,4,2015/4/15,3.867661,3867.661,2.3,,,,,,,,,,,,,,,,2015/11/15,2017/4/15
4837,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州万国房地产开发有限公司建商住（定销房）用地,永安路北、规划文学路西,70,挂牌,,5210,,2015,4,2015/4/15,5.700534,5700.534,1.8,,,,,,,,,,,,,,,,2015/11/15,2017/4/15
4838,其他商服用地,徐州市,睢宁县,江苏佳沐房地产开发有限公司建商业用地,双沟镇双塔路东、接碱河南,40,挂牌,,2100,,2015,4,2015/4/14,2.543889,2543.889,2,,,,,,,,,,,,,,,,2016/1/14,2018/4/14
4839,其他商服用地,徐州市,睢宁县,江苏盛志置业集团有限公司建商业用地,双沟镇104国道北、双塔路东,40,挂牌,,3345,,2015,4,2015/4/14,4.048475,4048.475,2.5,,,,,,,,,,,,,,,,2015/11/14,2018/4/14
4840,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,江苏盛志置业集团有限公司建商住用地,双沟镇104国道北、新华东路南,70,挂牌,,1085,,2015,4,2015/4/14,1.441146,1441.146,2.2,,,,,,,,,,,,,,,,2016/1/14,2018/4/14
4841,其他商服用地,徐州市,睢宁县,江苏佳沐房地产开发有限公司建商业用地,双沟镇104国道北、双沟医院东,40,挂牌,,1220,,2015,4,2015/4/14,1.666641,1666.641,1.7,,,,,,,,,,,,,,,,2015/11/14,2018/4/14
4842,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州吉盛置业有限公司建商住用地,双沟镇104国道南侧、双塔路东,70,挂牌,,850,,2015,4,2015/4/13,1.327202,1327.202,1.7,,,,,,,,,,,,,,,,2015/11/13,2018/4/13
4843,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区新华路加气站东侧、原铁路货场西侧,70,挂牌,,310,,2015,4,2015/4/13,0.5903,590.3,1.4,,,,,,,,,,,,,,,,2016/1/1,2017/12/31
4844,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区星光花园一期南侧、原综合厂北侧,70,挂牌,,1331,,2015,4,2015/4/13,2.9563,2956.3,1.5,,,,,,,,,,,,,,,,2016/1/1,2017/12/31
4845,工业用地,徐州市,铜山区,徐州正鑫集团鹰山水泥有限公司,张集镇吴邵村,50,挂牌,,693,,2015,4,2015/4/7,4.1993,4199.3,1,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4846,中低价位、中小套型普通商品住房用地,徐州市,铜山区,李为官,大许镇太山村,70,挂牌,,135,,2015,4,2015/4/7,0.1275,127.5,1.8,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4847,其他商服用地,徐州市,铜山区,徐州大丰置业有限公司,大学路东,70,挂牌,,7448,,2015,4,2015/4/7,4.4719,4471.9,1.6,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4848,,徐州市,铜山区,徐州梓崴工程机械有限公司,柳新镇杨场村,50,挂牌,,231,,2015,4,2015/4/7,0.9861,986.1,1.2,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4849,街巷用地,徐州市,铜山区,徐州苏家客运服务有限公司,柳新镇苏家村,50,挂牌,,86,,2015,4,2015/4/7,0.3333,333.3,1.4,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4850,中低价位、中小套型普通商品住房用地,徐州市,铜山区,徐州铁矿集团有限公司,利国镇镇区,70,挂牌,,1385,,2015,4,2015/4/7,1.84695,1846.95,1.3,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4851,中低价位、中小套型普通商品住房用地,徐州市,铜山区,徐州铁矿集团有限公司,利国镇镇区,70,挂牌,,1594,,2015,4,2015/4/7,2.1244,2124.4,1.3,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4852,工业用地,徐州市,铜山区,徐州康腾传动科技发展有限公司,茅村镇赵庄村,50,挂牌,,855,,2015,4,2015/4/7,5.1801,5180.1,1,,,,,,,,,,,,,,,,2015/10/7,2017/10/7
4853,其他商服用地,徐州市,睢宁县,睢宁县润企投资有限公司建商服用地,下邳大道北、白塘河东,40,挂牌,,3630,,2015,4,2015/4/3,3.335186,3335.186,1.5,,,,,,,,,,,,,,,,2015/11/3,2017/4/3
4854,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州吉盛置业有限公司建商住用地,双沟镇104国道南侧、双塔路西侧,69,挂牌,,2200,,2015,4,2015/4/3,3.448107,3448.107,1.7,,,,,,,,,,,,,,,,2015/11/3,2018/4/3
4855,其他商服用地,徐州市,泉山区,徐州市信泰置业有限公司、徐州市永宁汽车城管理有限公司(江苏永宁实业投资集团有限公司)泉山区华美电厂北侧地块商服项目,徐丰公路西，经一路东,40,挂牌,,8433,,2015,4,2015/4/3,15.3085,15308.5,1.2,,,,,,,,,,,,,,,,2016/4/3,2018/4/3
4856,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,江苏展源置业发展有限公司建商住用地,双沟镇104国道南、台湾街东,70,挂牌,,1670,,2015,4,2015/4/2,2.22096,2220.96,2,,,,,,,,,,,,,,,,2015/11/2,2016/4/2
4857,其他商服用地,徐州市,睢宁县,睢宁县嘉实房地产开发有限公司建商住用地,中山北路东、永安路北,40,挂牌,,16735,,2015,4,2015/4/2,8.202826,8202.826,2.3,,,,,,,,,,,,,,,,2015/11/2,2018/4/2
4858,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州正祺房地产开发有限公司建商住用地,凌城镇徐淮路北、文苑路东,70,挂牌,,415,,2015,3,2015/3/31,0.705741,705.741,1.6,,,,,,,,,,,,,,,,2015/10/31,2017/3/31
4859,工业用地,徐州市,邳州市,年产3万套实木家具（徐州欧美国林人造板有限公司）,邳州市陈楼镇园区路东侧,50,挂牌,,517.8,,2015,3,2015/3/30,3.451713,3451.713,1,,,,,,,,,,,,,,,,2015/5/1,2016/5/1
4860,工业用地,徐州市,徐州市本级,徐州市新水国有资产经营有限责任公司徐州经济技术开发区三环北路东延南侧地块公共设施项目,徐州经济技术开发区三环北路东延南,40,挂牌,,720,,2015,3,2015/3/27,1.85708,1857.08,0.2,,,,,,,,,,,,,,,,2016/3/27,2016/9/27
4861,工业用地,徐州市,邳州市,鉰料加工（邳州市小河科技发展有限公司）,邳州市官湖镇汇友路西侧,50,挂牌,,63.7,,2015,3,2015/3/27,0.424765,424.765,1,,,,,,,,,,,,,,,,2015/4/6,2016/4/6
4862,商务金融用地,徐州市,泉山区,徐州市新盛建设发展投资有限公司泉山区凤鸣路早餐点项目,凤鸣路南侧，徐工技校北侧,40,挂牌,,1288,,2015,3,2015/3/27,0.2942,294.2,1.6,,,,,,,,,,,,,,,,2016/3/27,2017/3/27
4863,其他商服用地,徐州市,泉山区,徐州山水汇邻湾商业管理有限公司泉山区永嘉太阳城北侧地块商服项目,三环南路南，永嘉太阳城北,40,挂牌,,4127,,2015,3,2015/3/27,1.8073,1807.3,3.6,,,,,,,,,,,,,,,,2016/3/27,2017/9/27
4864,批发零售用地,徐州市,泉山区,中国石化销售有限公司江苏徐州石油分公司泉山区盛世嘉园西侧商服用地(加油站)项目,三环南路北，盛世嘉园西,40,挂牌,,1500,,2015,3,2015/3/27,0.3385,338.5,0.4,,,,,,,,,,,,,,,,2016/3/27,2017/3/27
4865,其他商服用地,徐州市,鼓楼区,徐州市贾汪区微山鑫商贸有限公司,贾汪区206国道西侧、民和苑小区北侧,40,挂牌,,252,,2015,3,2015/3/25,0.0861,86.1,1.6,,,,,,,,,,,,,,,,2015/3/25,2015/3/25
4866,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区前委路北侧、聚龙官邸南侧,70,挂牌,,202,,2015,3,2015/3/24,0.0686,68.6,1.8,,,,,,,,,,,,,,,,2015/6/1,2017/5/31
4867,其他商服用地,徐州市,鼓楼区,徐州海泰工程机械设备有限公司,贾汪区洪西路北侧、原规划局,40,挂牌,,387,,2015,3,2015/3/20,0.2678,267.8,1.5,,,,,,,,,,,,,,,,2015/3/20,2015/3/20
4868,其他商服用地,徐州市,鼓楼区,江苏苏北花卉股分有限公司,贾汪区206国道西侧、原教育局北侧,40,挂牌,,604,,2015,3,2015/3/20,0.4174,417.4,1.5,,,,,,,,,,,,,,,,2015/3/20,2015/3/20
4869,工业用地,徐州市,沛  县,徐州国宏包装有限公司年产6000万套阻燃型无纺布制品项目,沛县经济开发区萧何路南侧、汉康路东侧,50,挂牌,,401,,2015,3,2015/3/20,3.2937,3293.7,1.5,,徐州国宏包装有限公司,,,,,,,,,,,,,,2015/9/20,2017/9/20
4870,工业用地,徐州市,沛  县,徐州春光纺织有限公司二期扩建项目,杨屯镇四号路南侧、五号路西侧、春光路北侧,50,挂牌,,159,,2015,3,2015/3/20,1.3201,1320.1,1.2,,徐州春光纺织有限公司,,,,,,,,,,,,,,2015/7/20,2017/7/20
4871,其他商服用地,徐州市,鼓楼区,徐州市新盛兴潘旅游文化发展有限公司,贾汪区潘安湖办事处西段庄村,40,挂牌,,10205,,2015,3,2015/3/20,6.8032,6803.2,0.5,,,,,,,,,,,,,,,,2015/12/1,2017/11/30
4872,其他商服用地,徐州市,鼓楼区,徐州润本置业有限公司,贾汪区前委路南侧、原人保局西侧,40,挂牌,,366,,2015,3,2015/3/19,0.1937,193.7,3,,,,,,,,,,,,,,,,2015/12/1,2017/11/30
4873,其他商服用地,徐州市,鼓楼区,徐州苏沭商贸有限公司,贾汪区团结路北侧,40,挂牌,,172,,2015,3,2015/3/18,0.0912,91.2,3.5,,,,,,,,,,,,,,,,2015/3/18,2015/3/18
4874,中低价位、中小套型普通商品住房用地,徐州市,丰  县,泰子宇轩（杨口地块）,西环路东、白衣河以北,70,挂牌,,5258,,2015,3,2015/3/17,5.69884,5698.84,2,,徐州泰子宇轩置业有限公司,,,,,,,,,,,,,,2015/9/17,2018/9/16
4875,商务金融用地,徐州市,丰  县,天成房地产（总部经济A-04）,丰县中阳大道北、经九路西,40,挂牌,,353,,2015,3,2015/3/17,0.327969,327.969,3.5,,,,,,,,,,,,,,,,2015/9/17,2018/9/16
4876,其他商服用地,徐州市,邳州市,张楼原种农贸市场  徐州云鼎置业有限公司,邳州市张楼街道南侧,40,挂牌,,1014,,2015,3,2015/3/12,0.67622,676.22,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4877,其他商服用地,徐州市,邳州市,向阳商贸城  徐州云鼎置业有限公司,邳州市花园路东侧、青年东路南侧,40,挂牌,,2784,,2015,3,2015/3/12,0.58024,580.24,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4878,其他商服用地,徐州市,邳州市,天山路农贸市场  徐州云鼎置业有限公司,邳州市天山路东侧、铁路北侧,40,挂牌,,2580.6,,2015,3,2015/3/12,0.7821,782.1,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4879,其他商服用地,徐州市,鼓楼区,徐州泉林工程管理有限公司,贾汪区前委路南侧、将军大道东侧,40,挂牌,,170,,2015,3,2015/3/12,0.0754,75.4,3.5,,,,,,,,,,,,,,,,2015/3/12,2015/3/12
4880,其他商服用地,徐州市,邳州市,明珠市场  徐州云鼎置业有限公司,邳州市嵩山路东侧、淮河路北侧、华山路西侧,40,挂牌,,7152,,2015,3,2015/3/12,2.38424,2384.24,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4881,其他商服用地,徐州市,邳州市,向阳广场 徐州云鼎置业有限公司,邳州市花园路西侧、青年东路南侧,40,挂牌,,558,,2015,3,2015/3/12,0.12018,120.18,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4882,其他商服用地,徐州市,邳州市,张楼文化超市  邳州云鼎置业有限公司,邳州市南京南路东侧,40,挂牌,,280,,2015,3,2015/3/12,0.18692,186.92,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4883,其他商服用地,徐州市,邳州市,张楼商贸城  徐州云鼎置业有限公司,邳州市张楼街道北侧,40,挂牌,,140,,2015,3,2015/3/12,0.09315,93.15,4,,,,,,,,,,,,,,,,2015/4/1,2017/4/1
4884,工业用地,徐州市,邳州市,多层胶合板生产线  徐州江恒木业有限公司,邳州市碾庄镇311国道北侧,50,挂牌,,200.53,,2015,3,2015/3/6,1.215164,1215.164,1,,,,,,,,,,,,,,,,2015/3/31,2016/3/31
4885,工业用地,徐州市,邳州市,饲料生产  徐州春成饲料有限公司,岔河镇紫荆大道南侧、310国道西侧,50,挂牌,,313.5,,2015,3,2015/3/6,2.090307,2090.307,1,,,,,,,,,,,,,,,,2015/3/30,2016/3/30
4886,中低价位、中小套型普通商品住房用地,徐州市,邳州市,九龙湾二期（江苏嘉泽置业有限公司),邳州市铁富镇邮电路西侧,70,挂牌,,1038.95,,2015,3,2015/3/6,1.259335,1259.335,2.5,,,,,,,,,,,,,,,,2015/10/1,2018/10/1
4887,工业用地,徐州市,邳州市,肉免加工厂（邳州市东方养殖有限公司）,邳州市官湖镇汇友路东侧,50,挂牌,,139.4,,2015,3,2015/3/6,0.92929,929.29,1,,,,,,,,,,,,,,,,2015/4/30,2016/4/29
4888,其他商服用地,徐州市,邳州市,炮车街道办事处四王村级服务中心  邳州市高新技术产业园经发建设有限公司,炮车大道西侧、长安路南侧,40,挂牌,,876.7,,2015,3,2015/3/5,0.531375,531.375,6.5,,,,,,,,,,,,,,,,2015/3/31,2016/3/31
4889,中低价位、中小套型普通商品住房用地,徐州市,邳州市,银杏小区（邳州南和置业有限公司）,邳州市南京路西侧、银杏大道北侧,70,挂牌,,2408.4,,2015,3,2015/3/5,1.337777,1337.777,2,,,,,,,,,,,,,,,,2015/9/30,2018/9/30
4890,其他商服用地,徐州市,邳州市,炮车街道办事处服务中心  邳州市高新技术产业园经发建设有限公司,炮车大道东侧、长安路北侧,40,挂牌,,1565.3,,2015,3,2015/3/4,0.948912,948.912,6.5,,,,,,,,,,,,,,,,2015/3/31,2016/3/31
4891,其他商服用地,徐州市,邳州市,四王村级服务中心  （邳州市高新技术产业园经发建设有限公司）,邳州市炮车镇四王村农贸市场西侧,40,挂牌,,343.2,,2015,3,2015/3/4,0.381056,381.056,6.5,,,,,,,,,,,,,,,,2015/3/31,2016/3/31
4892,中低价位、中小套型普通商品住房用地,徐州市,邳州市,尚景嘉园 （邳州经济开发区经发建设有限公司）,红旗路西侧、红泇路南侧,70,挂牌,,5410.25,,2015,3,2015/3/3,4.243273,4243.273,1.6,,,,,,,,,,,,,,,,2015/3/18,2018/3/17
4893,其他商服用地,徐州市,贾汪区,徐州市文景置业有限公司,贾汪区原人民公园西侧,40,挂牌,,2147,,2015,3,2015/3/2,1.7885,1788.5,1.5,,徐州市文景置业有限公司,,,,,,,,,,,,,,2015/12/1,2017/11/30
4894,工业用地,徐州市,徐州市本级,徐州协鑫光电科技有限公司徐州经济技术开发区杨山路北侧工业项目,徐州经济技术开发区杨山路北侧,40,挂牌,,3697,,2015,2,2015/2/28,9.62363,9623.63,1,,,,,,,,,,,,,,,,2016/2/28,2017/2/28
4895,医卫慈善用地,徐州市,邳州市,医疗卫生用地,奚仲路北侧,50,挂牌,,350,,2015,2,2015/2/28,0.666896,666.896,1.8,,,,,,,,,,,,,,,,2015/3/12,2016/3/12
4896,其他普通商品住房用地,徐州市,徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区京杭运河以南C地块城镇住宅项目,京杭运河以南、规划路以北,70,挂牌,,41820,,2015,2,2015/2/27,18.58775,18587.75,2.5,,,,,,,,,,,,,,,,2016/2/27,2017/2/27
4897,商务金融用地,徐州市,徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区总部经济园B线南侧地块1商业项目,总部经济园B线南侧、E线西侧,40,挂牌,,17042,,2015,2,2015/2/27,4.205,4205,3.5,,,,,,,,,,,,,,,,2016/2/27,2017/2/27
4898,商务金融用地,徐州市,徐州市本级,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区总部经济园B线南侧地块2商业项目,总部经济园B线南侧、E线东侧,40,挂牌,,18308,,2015,2,2015/2/27,4.5175,4517.5,3.5,,,,,,,,,,,,,,,,2016/2/27,2017/2/27
4899,商务金融用地,徐州市,徐州经济开发区,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区总部经济园E线西侧地块商服项目,总部经济园E线西侧,40,挂牌,,31296,,2015,2,2015/2/27,7.722,7722,3.5,,徐州经济技术开发区国有资产经营有限责任公司,,,,,,,,,,,,,,2016/2/27,2017/2/27
4900,其他普通商品住房用地,徐州市,徐州经济开发区,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区京杭运河以南B地块城镇住宅项目,京杭运河以南、规划路以北,70,挂牌,,40590,,2015,2,2015/2/27,18.04314,18043.14,2.5,,徐州经济技术开发区国有资产经营有限责任公司,,,,,,,,,,,,,,2016/2/27,2017/2/27
4901,商务金融用地,徐州市,徐州经济开发区,徐州经济技术开发区国有资产经营有限责任公司徐州经济技术开发区总部经济园E线东侧地块商服项目,总部经济园E线东侧、F线西侧,40,挂牌,,24668,,2015,2,2015/2/27,6.0868,6086.8,3.5,,徐州经济技术开发区国有资产经营有限责任公司,,,,,,,,,,,,,,2016/2/27,2017/2/27
4902,科教用地,徐州市,邳州市,锦江路实验幼儿园(徐州馨美教育发展有限公司),邳州市锦江路南侧、运西派出所东侧,50,挂牌,,337.2,,2015,2,2015/2/26,0.74946,749.46,1.5,,,,,,,,,,,,,,,,2015/2/26,2016/2/26
4903,其他商服用地,徐州市,邳州市,邳州市公共交通维修保养厂（邳州市宏通路桥工程建设有限公司）,邳州市青年东路南侧、南京路西,40,挂牌,,8913.6,,2015,2,2015/2/25,3.713723,3713.723,4,,,,,,,,,,,,,,,,2015/3/31,2016/3/31
4904,其他商服用地,徐州市,新沂市,东方震旦新沂市置业有限公司,新沂市新安街道205国道南、郯新路西侧。,70,挂牌,,3150,,2015,2,2015/2/18,3.0001,3000.1,2.5,,,,,,,,,,,,,,,,2015/8/18,2017/8/18
4905,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪区富华置业有限公司,贾汪区宜家花园东侧、贾汴路南侧,70,挂牌,,4490,,2015,2,2015/2/10,3.7421,3742.1,1.8,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4906,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪区耀辉房地产开发有限公司,贾汪区宜家花园东侧、贾汴路南侧,70,挂牌,,3150,,2015,2,2015/2/10,2.6248,2624.8,1.8,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4907,批发零售用地,徐州市,鼓楼区,中海油徐州交通新能源有限公司,贾汪区新华路北侧、原铁路货场西侧,40,挂牌,,553,,2015,2,2015/2/10,0.5497,549.7,0.5,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4908,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区东方路西侧、泉城花都A地块北侧,70,挂牌,,2860,,2015,2,2015/2/10,2.6845,2684.5,1.7,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4909,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区鸿福路北侧、规划206国道西侧,70,挂牌,,4688,,2015,2,2015/2/10,4.4648,4464.8,1.8,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4910,其他商服用地,徐州市,鼓楼区,程振国,贾汪区将军大道西侧、电力公司南侧,40,挂牌,,701,,2015,2,2015/2/10,0.661,661,1.5,,,,,,,,,,,,,,,,2015/2/10,2015/2/10
4911,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区新区一路南侧、东方路东侧、鸿福路北侧,70,挂牌,,2593,,2015,2,2015/2/10,2.4347,2434.7,2,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4912,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市泉城房地产开发有限公司,贾汪区鸿福路南侧、桃园路东侧,70,挂牌,,2591,,2015,2,2015/2/10,2.467,2467,2.4,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4913,中低价位、中小套型普通商品住房用地,徐州市,鼓楼区,徐州市贾汪城市建设投资有限公司,贾汪区永福路西侧、新区一路北侧、东方路东侧、贾汴路南侧,70,挂牌,,4215,,2015,2,2015/2/10,4.0139,4013.9,1.8,,,,,,,,,,,,,,,,2015/11/1,2017/10/31
4914,中低价位、中小套型普通商品住房用地,徐州市,沛  县,徐州天硕房地产开发有限公司建天硕名都小区,沛城镇徐沛路东侧、红光干渠西侧,70,挂牌,,2199,,2015,2,2015/2/9,3.8575,3857.5,1.8,,徐州天硕房地产开发有限公司,,,,,,,,,,,,,,2015/8/9,2018/8/9
4915,工业用地,徐州市,睢宁县,江苏宁江工业园投资有限公司建工业用地,兴业路南、德发路西,50,挂牌,,322,,2015,2,2015/2/6,2.382941,2382.941,2,,,,,,,,,,,,,,,,2015/3/6,2015/8/6
4916,工业用地,徐州市,睢宁县,徐州六合龙大饲料有限公司建工业用地,宁江工业园内、北环路南,50,挂牌,,222,,2015,2,2015/2/6,1.641045,1641.045,2,,,,,,,,,,,,,,,,2015/3/6,2015/8/6
4917,工业用地,徐州市,睢宁县,睢宁宝源新能源发电有限公司建工业用地,桃园镇朱官路西、徐沙河支流以北,50,挂牌,,467,,2015,2,2015/2/6,3.453378,3453.378,2,,,,,,,,,,,,,,,,2015/5/6,2017/2/6
4918,工业用地,徐州市,睢宁县,江苏惠德城市建设工程有限公司建工业用地,徐沙河南、青年西路北侧,50,挂牌,,574,,2015,2,2015/2/6,4.244704,4244.704,1.5,,,,,,,,,,,,,,,,2015/5/6,2017/2/6
4919,工业用地,徐州市,睢宁县,徐州禾丰粮食有限公司建工业用地,凌城镇河东村、徐宁路南,50,挂牌,,196,,2015,2,2015/2/6,1.445501,1445.501,2,,,,,,,,,,,,,,,,2015/3/6,2015/8/6
4920,工业用地,徐州市,睢宁县,江苏润凌实业有限公司建工业用地,凌城镇经三南路西侧、徐宁路以南,50,挂牌,,107,,2015,2,2015/2/6,0.78635,786.35,2,,,,,,,,,,,,,,,,2015/3/6,2015/8/6
4921,工业用地,徐州市,睢宁县,徐州祥宇粮油实业有限公司建工业用地,凌城镇经三南路西侧、徐宁路以南,45,挂牌,,355,,2015,2,2015/2/6,2.625842,2625.842,2,,,,,,,,,,,,,,,,2015/3/6,2015/8/6
4922,工业用地,徐州市,睢宁县,江苏润利服装有限公司建工业用地,纬一路南、建宁路西侧,50,挂牌,,180,,2015,2,2015/2/5,1.326339,1326.339,1.5,,,,,,,,,,,,,,,,2015/3/5,2015/8/5
4923,工业用地,徐州市,睢宁县,徐州辅军服饰有限公司建工业用地,青年路北、神农纺织西侧,50,挂牌,,126,,2015,2,2015/2/5,0.930832,930.832,2,,,,,,,,,,,,,,,,2015/3/5,2015/8/5
