编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
80,城镇住宅用地,泰州市,靖江市,商住（江苏景龙园现代农业投资开发有限公司）,阳光大道南侧，生态路北侧,70,挂牌出让,,18560,,2020,2020年4月,2020年4月14日,65144,2,130288,江苏景龙园现代农业投资开发有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
81,其他商服用地,泰州市,靖江市,服务设施用地（靖江市滨江新城投资开发有限公司）,长阳路北侧，渡江路东侧,40,挂牌出让,,9760,,2020,2020年4月,2020年4月14日,18601,1.3,24181.3,靖江市滨江新城投资开发有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
82,城镇村道路用地,泰州市,泰州市本级,永宁路,高港区许庄街道境内,,划拨,,,,2020,2020年4月,2020年4月13日,70892,1,70892,泰州市高港高新区开发建设有限责任公司,,,,,,,,,,,,,,2020年6月10日,2021年6月10日
83,公用设施用地,泰州市,泰州市本级,泰州三水厂三号取水头部建设工程,高港区永安洲镇永胜社区境内,,划拨,,,,2020,2020年4月,2020年4月13日,13716,1,13716,泰州市城市建设投资集团有限公司,,,,,,,,,,,,,,2020年5月31日,2021年6月30日
84,公用设施用地,泰州市,靖江市,(社会管理服务中心)靖江经济技术开发区城北园区管委会,孤山镇镇南村,,划拨,,0,,2020,2020年4月,2020年4月10日,18053,1.03,18594.59,靖江经济技术开发区城北园区管委会,,,,,,,,,,,,,,2021年4月30日,2022年4月30日
85,工业用地,泰州市,泰兴市,江苏黄桥乐器文化产业园投资发展有限公司,黄桥镇野向村野向2、5组,50,挂牌出让,,1258.908,,2020,2020年4月,2020年4月9日,25692,2,51384,江苏黄桥乐器文化产业园投资发展有限公司,,,,,,,,,,,,,,2021年10月9日,2023年4月9日
86,工业用地,泰州市,泰兴市,耀拓装饰工程（泰兴）有限公司,曲霞镇镇西村陈公堂3、6组,50,挂牌出让,,215.0075,,2020,2020年4月,2020年4月9日,5059,2,10118,耀拓装饰工程（泰兴）有限公司,,,,,,,,,,,,,,2021年10月9日,2023年4月9日
87,工业用地,泰州市,泰兴市,江苏德大生物工程有限公司,河失镇河头居委会河头10组,50,挂牌出让,,287.541,,2020,2020年4月,2020年4月9日,4458,2,8916,江苏德大生物工程有限公司,,,,,,,,,,,,,,2021年10月9日,2023年4月9日
88,工业用地,泰州市,泰兴市,泰兴市永建服饰有限公司,河失镇常周居委会周桥2组,50,挂牌出让,,116.4,,2020,2020年4月,2020年4月9日,2425,2,4850,泰兴市永建服饰有限公司,,,,,,,,,,,,,,2021年10月9日,2023年4月9日
89,工业用地,泰州市,泰兴市,泰兴市迪科服饰有限公司,河失镇常周居委会周桥4组,50,挂牌出让,,191.334,,2020,2020年4月,2020年4月9日,4906,2,9812,泰兴市迪科服饰有限公司,,,,,,,,,,,,,,2021年10月9日,2023年4月9日
