编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
132,工业用地,泰州市,靖江市,靖江市正源混凝土有限公司,东兴镇上六村,50,挂牌出让,,1000.02,,2020,######,######,16667,2,33334,靖江市正源混凝土有限公司,,,,,,,,,,,,,,######,######
133,工业用地,泰州市,靖江市,江苏品胜智能科技有限公司,靖城镇柏一村、罗家村,50,挂牌出让,,698.22,,2020,######,######,23274,2,46548,江苏品胜智能科技有限公司,,,,,,,,,,,,,,######,######
134,工业用地,泰州市,靖江市,江苏浩宏机械制造有限公司,生祠镇新丰村,50,挂牌出让,,450,,2020,######,######,10000,2,20000,江苏浩宏机械制造有限公司,,,,,,,,,,,,,,######,######
137,工业用地,泰州市,高港区,领蜂智能公司新建工业用房,高港区口岸街道长城汽车股份有限公司西侧、临港大道南侧325米地块,50,挂牌出让,,780,,2020,######,######,18035,1.5,27052.5,泰州领蜂智能科技有限公司,,,,,,,,,,,,,,######,######
138,工业用地,泰州市,高港区,领巢智能公司新建工业用房,高港区口岸街道长城汽车股份有限公司西侧、临港大道南侧地块,50,挂牌出让,,2200,,2020,######,######,49980,1.5,74970,泰州领巢智能科技有限公司,,,,,,,,,,,,,,######,######
139,工业用地,泰州市,高港区,领诚智能公司新建工业用房,高港区口岸街道新港大道东侧、临港大道南侧地块,50,挂牌出让,,3560,,2020,######,######,81901,1.5,122851.5,泰州领诚智能科技有限公司,,,,,,,,,,,,,,######,######
140,工业用地,泰州市,高港区,领诺智能公司新建工业用房,高港区口岸街道新港大道东侧、长城汽车股份有限公司北侧地块,50,挂牌出让,,4210,,2020,######,######,97196,1.5,145794,泰州领诺智能科技有限公司,,,,,,,,,,,,,,######,######
141,仓储用地,泰州市,高港区,国际集装箱码头新建仓储用房,高港区永安洲镇疏港北路西侧、环港大道南侧地块,50,挂牌出让,,3220,,2020,######,######,74433,0.6,44659.8,泰州国际集装箱码头有限公司,,,,,,,,,,,,,,######,######
142,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇兴达大道西侧,50,挂牌出让,,1401.5,,2020,######,######,50503.6,2,101007.2,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
143,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇兴达大道西侧,50,挂牌出让,,54,,2020,######,######,1933.9,2,3867.8,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
144,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇兴达大道西侧,50,挂牌出让,,3026,,2020,######,######,109042.3,2,218084.6,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
145,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇兴达大道西侧,50,挂牌出让,,31,,2020,######,######,1112.7,2,2225.4,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
146,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇人民路北侧,50,挂牌出让,,80.5,,2020,######,######,2884.5,2,5769,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
147,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇人民路东侧,50,挂牌出让,,181,,2020,######,######,6517.7,2,13035.4,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
148,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇宁盐公路西侧,50,挂牌出让,,52,,2020,######,######,1857,2,3714,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
149,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇宁盐公路西侧,50,挂牌出让,,205.5,,2020,######,######,7388.7,2,14777.4,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
150,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇宁盐公路东侧,50,挂牌出让,,318,,2020,######,######,11458.8,2,22917.6,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
151,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇宁盐公路东侧,50,挂牌出让,,14,,2020,######,######,495.4,2,990.8,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
152,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇宁盐公路东侧,50,挂牌出让,,8.5,,2020,######,######,304.8,2,609.6,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
153,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇人民路北侧、兴达大道东侧,50,挂牌出让,,157.5,,2020,######,######,5666.5,2,11333,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
154,工业用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇人民路南侧,50,挂牌出让,,82.5,,2020,######,######,2958.4,2,5916.8,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
155,工业用地,泰州市,姜堰市,泰州市姜堰区耀鑫建设有限公司,梁徐镇桥林村、张埭村,50,挂牌出让,,2740.5,,2020,######,######,81079,0,0,泰州市姜堰区耀鑫建设有限公司,,,,,,,,,,,,,,######,######
156,工业用地,泰州市,姜堰市,江苏博格东进管道设备有限公司,娄庄镇团结村,50,挂牌出让,,230.6,,2020,######,######,7685,0,0,江苏博格东进管道设备有限公司,,,,,,,,,,,,,,######,######
159,工业用地,泰州市,高港区,高新区开发公司新建工业用房,高港区许庄街道东风路西侧、永平路南侧地块,50,挂牌出让,,1940,,2020,######,######,46867,2.5,117167.5,泰州市高港高新区开发建设有限责任公司,,,,,,,,,,,,,,######,######
160,工业用地,泰州市,泰州市本级,医药高新区祥泰路东侧、灵芝路南侧地块,医药高新区祥泰路东侧、灵芝路南侧,50,挂牌出让,,2650,,2020,######,######,69672,2.5,174180,龙象药业泰州有限公司,,,,,,,,,,,,,,######,######
161,工业用地,泰州市,泰兴市,泰兴庆科健康科技有限公司,古溪镇刁网村八桥5组,50,挂牌出让,,31.98,,2020,######,######,820,2,1640,泰兴庆科健康科技有限公司,,,,,,,,,,,,,,######,######
162,工业用地,泰州市,泰兴市,泰兴庆科健康科技有限公司,古溪镇刁网村八桥5组,50,挂牌出让,,38.103,,2020,######,######,977,2,1954,泰兴庆科健康科技有限公司,,,,,,,,,,,,,,######,######
163,工业用地,泰州市,泰兴市,泰兴市昌华金属科技有限公司,古溪镇刁网村八桥5组,50,挂牌出让,,216.996,,2020,######,######,5564,2,11128,泰兴昌华金属科技有限公司,,,,,,,,,,,,,,######,######
164,工业用地,泰州市,泰兴市,江苏国铸新型建材科技有限公司,根思乡根思村小井3组,50,挂牌出让,,45.694,,2020,######,######,737,2,1474,江苏国铸新型建材科技有限公司,,,,,,,,,,,,,,######,######
165,工业用地,泰州市,泰兴市,江苏恒熠金属制品有限公司,古溪镇古溪村3组,50,挂牌出让,,1334.814,,2020,######,######,34226,1.5,51339,江苏恒熠金属制品有限公司,,,,,,,,,,,,,,######,######
166,仓储用地,泰州市,泰兴市,泰兴市德烨建筑安装工程有限公司,古溪镇分古公路东侧、青年路南侧,50,挂牌出让,,202.9455,,2020,######,######,5011,2,10022,泰兴市德烨建筑安装工程有限公司,,,,,,,,,,,,,,######,######
167,仓储用地,泰州市,泰兴市,泰兴市讯捷建筑劳务有限公司,古溪镇横垛居委会,50,挂牌出让,,117.546,,2020,######,######,3014,1.2,3616.8,泰兴市迅捷建筑劳务有限公司,,,,,,,,,,,,,,######,######
173,工业用地,泰州市,高港区,佳群金属公司新建工业用房,高港区许庄街道永平路南侧、泰州万诺纺织科技有限公司西侧地块,50,挂牌出让,,860,,2020,######,######,19529,1.5,29293.5,江苏佳群金属科技有限公司,,,,,,,,,,,,,,######,######
174,工业用地,泰州市,高港区,兴园科技公司新建工业用房,高港区许庄街道东风路西侧、创新大道北侧地块,50,挂牌出让,,2300,,2020,######,######,53290,1.5,79935,泰州市兴园科技发展有限公司,,,,,,,,,,,,,,######,######
182,工业用地,泰州市,泰兴市,泰兴市余泉食品厂,黄桥镇南沙吴庄村,50,挂牌出让,,499.224,,2020,######,######,2046,2,4092,泰兴市余泉食品厂,,,,,,,,,,,,,,######,######
183,工业用地,泰州市,泰兴市,泰兴市大隆鑫混凝土有限公司,黄桥镇翁庄村16组,50,挂牌出让,,428.376,,2020,######,######,7139.6,2,14279.2,泰兴市大隆鑫混凝土有限公司,,,,,,,,,,,,,,######,######
184,工业用地,泰州市,泰兴市,新浦烯烃（泰兴）有限公司,滨江镇褚港村犴垈、戴行、牌坊组,50,挂牌出让,,1519,,2020,######,######,37975,2.5,94937.5,新浦烯烃（泰兴）有限公司,,,,,,,,,,,,,,######,######
185,工业用地,泰州市,泰兴市,泰兴市麒勇金属制品有限公司,分界镇长生社区13组,50,挂牌出让,,190,,2020,######,######,4000,2.5,10000,泰兴市麒勇金属制品有限公司,,,,,,,,,,,,,,######,######
186,工业用地,泰州市,泰兴市,泰兴市博尔顿金属制品有限公司,分界镇长生社区13组,50,挂牌出让,,126.6825,,2020,######,######,2667,2.5,6667.5,泰兴市博尔顿金属制品有限公司,,,,,,,,,,,,,,######,######
