行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
池州市本级,十里路扩建工程,城西十里路,1.7469,街巷用地,划拨,,其他服务业,,池州市住房和城乡建设委员会,,2018年9月14日,,
东至县,东至县城DZJX-5-3地块,尧渡镇毛田村,3.847014,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,609,安徽安东投资控股集团有限公司,1.001.50,2018年9月13日,2019年9月13日,2020年9月13日
池州市本级,牵引变电所边角地,陵阳大道以南,0.2154,铁路用地,划拨,,铁路运输业,,宁安铁路有限公司,,2018年9月10日,,
池州市本级,生态水面项目,清溪街道翠屏苑社区,10.4008,水库水面,划拨,,其他服务业,,池州市天堂湖建设发展有限公司,,2018年9月10日,,
池州市本级,转播台迁址工程,杏花村街道十里社区,10.0003,新闻出版用地,划拨,,新闻出版业,,安徽人民广播电台池州转播台,0.5,2018年9月10日,,
池州市本级,临港安置房,池州开发区,2.164,经济适用住房用地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,1.001.60,2018年9月10日,,
贵池区,年产3000吨精制出口红茶生产线技改项目,牌楼镇竹溪村一地块,1.0121,工业用地,挂牌出让,50,饮料制造业,153,安徽省池州市安池茶叶有限公司,1.000.00,2018年9月10日,2020年1月10日,2022年1月10日
池州市本级,平天湖风景区绿化项目,马衙街道杨安村、峡山村、碧山村,23.5847,公园与绿地,划拨,,其他服务业,,池州市天堂湖建设发展有限公司,,2018年9月10日,,
池州市本级,池州一中迁址,升金湖路,16.8834,科教用地,划拨,,教育业,,池州市第一中学,0.9,2018年9月10日,,
池州市本级,储气站,清溪大道,1.3316,公共设施用地,划拨,,燃气生产和供应业,,池州港华燃气有限公司,,2018年9月10日,,
池州市本级,南湖小学迁址,和谐路,2.1643,科教用地,划拨,,教育业,,池州市贵池区南湖小学,0.9,2018年9月10日,,
贵池区,码头用地,牛头山镇牛头山村地块二,5.5072,港口码头用地,挂牌出让,50,水上运输业,850,中电建安徽长九新材料股份有限公司,0.000.00,2018年9月7日,2020年4月1日,2022年4月1日
贵池区,贵池区桃坡砂石集散中心项目,梅街镇桃坡村地块,2.35387,工业用地,挂牌出让,50,其它,365,池州金桥投资集团有限公司,1.000.00,2018年9月7日,2020年4月1日,2022年4月1日
东至县,大渡口镇仙寓山路东侧地块,大渡口镇麻石桥村,28.505382,工业用地,挂牌出让,50,仪器仪表及文化、办公用机械制造业,2405,池州泰富·安东智能科技有限公司,1.001.50,2018年9月7日,2019年8月28日,2020年8月28日
贵池区,商服,前江工业园D12部分地块,0.3124,其他商服用地,挂牌出让,40,居民服务业,175,中电建安徽长九新材料股份有限公司,0.000.60,2018年9月5日,2019年9月1日,2020年9月1日
