行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
奉化市,裘村镇城镇低效用地再开发二十八号地块,该地块位于裘村镇黄贤村，地块东、南、西、北至用地范围线。,0.4549,工业用地,挂牌出让,50,汽车制造,172,宁波市奉化博龙机械制造有限公司,0.900.95,2020年6月16日,2021年6月16日,2023年6月16日,,,,
奉化市,溪口镇城镇低效用地再开发三十八号地块,该地块位于溪口镇畸山工业园区，东至恒宇机械厂、南至苗木地、西至苗木地、北至苗木地。,0.3135,工业用地,挂牌出让,50,金属制品业,161,宁波大秦机械有限公司,0.902.00,2020年6月16日,2021年6月26日,2023年6月26日,,,,
奉化市,溪口镇城镇低效用地再开发九十七号地块,该地块位于溪口镇畸山工业园区，东至道路、南至元丰路、西至奉化市日升彩印包装厂、北至元康路。,0.2577,工业用地,挂牌出让,50,通用设备制造业,122,宁波市奉化溪口威翔机械制造厂,1.002.00,2020年6月16日,2021年6月26日,2023年6月26日,,,,
奉化市,锦屏街道城镇低效用地再开发十号地块,该地块位于锦屏街道黄夹岙村，地块东、西、南、北至用地范围线。,0.1847,工业用地,挂牌出让,50,通用设备制造业,118,宁波奉化瑞徽汽车塑件有限公司,1.001.05,2020年6月16日,2021年6月26日,2023年6月26日,,,,
慈溪市,慈宗汉II201737#,宗汉街道史家村,0.2033,工业用地,协议出让,50,塑料制品业,137.2275,慈溪市浒山新港模具塑料厂,0.902.00,2020年6月16日,2021年6月16日,2024年6月16日,,,,
宁海县,宁海县桃源街道原唐安李北地块,宁海县桃源街道原唐安李村北侧,3.1095,城镇住宅用地,挂牌出让,70,房地产业,30103.0695,宁波博悦置业有限公司,1.001.05,2020年6月15日,2021年6月15日,2023年6月15日,,,,
余姚市,马渚镇垃圾中转站地块,马渚镇开元村,0.3065,公用设施用地,划拨,,环境管理业,116.0049,余姚市马渚镇人民政府,,2020年6月15日,2021年6月22日,2023年6月22日,,,,
慈溪市,鸣鹤国药康养小镇——鸣兴东路东延工程,观海卫镇湖滨村,0.4828,城镇村道路用地,划拨,,道路运输业,151.2658,慈溪市旅游集团有限公司,0.000.00,2020年6月15日,2021年6月15日,2024年6月17日,,,,
鄞州区,堇天府地块配套幼儿园,陈婆渡,0.7081,教育用地,划拨,,国家机构,,宁波市鄞州区人民政府首南街道办事处,0.670.75,2020年6月15日,2021年12月13日,2023年12月12日,,,,
余姚市,陆丈线一期（陆埠互通）工程衔接地块,陆埠镇,0.0725,公路用地,划拨,,城市公共交通业,23.8163,余姚市交通运输局,,2020年6月15日,2021年6月22日,2023年6月22日,,,,
